disasterNumber,declarationType,declarationDate,declarationTitle,designatedArea
1539,DR,2004-08-13 00:00:00+00:00,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,"Franklin (County),Wakulla (County),Hendry (County),Nassau (County),Volusia (County),Monroe (County),Brevard (County),Calhoun (County),Citrus (County),St. Lucie (County),Duval (County),Levy (County),Glades (County),Holmes (County),Suwannee (County),Gilchrist (County),Lafayette (County),Lake (County),Collier (County),Alachua (County),Columbia (County),Martin (County),Santa Rosa (County),Sarasota (County),Baker (County),Escambia (County),Miami-Dade (County),Charlotte (County),Indian River (County),Pasco (County),Hillsborough (County),Madison (County),Flagler (County),Taylor (County),St. Johns (County),Gulf (County),Jefferson (County),Liberty (County),Okaloosa (County),Union (County),Hardee (County),Seminole (County),Bradford (County),Gadsden (County),Leon (County),Putnam (County),Walton (County),Highlands (County),Orange (County),Okeechobee (County),Bay (County),Jackson (County),Manatee (County),Palm Beach (County),DeSoto (County),Broward (County),Hamilton (County),Lee (County),Washington (County),Dixie (County),Osceola (County),Pinellas (County),Clay (County),Hernando (County),Marion (County),Sumter (County),Polk (County)"
1545,DR,2004-09-04 00:00:00+00:00,HURRICANE FRANCES,"Sarasota (County),Nassau (County),Okeechobee (County),St. Lucie (County),St. Johns (County),Miami-Dade (County),Levy (County),DeSoto (County),Putnam (County),Martin (County),Highlands (County),Dixie (County),Okaloosa (County),Gadsden (County),Franklin (County),Calhoun (County),Manatee (County),Sumter (County),Osceola (County),Hillsborough (County),Charlotte (County),Alachua (County),Taylor (County),Holmes (County),Lee (County),Hardee (County),Columbia (County),Brevard (County),Wakulla (County),Polk (County),Lafayette (County),Flagler (County),Leon (County),Gulf (County),Bay (County),Escambia (County),Pinellas (County),Volusia (County),Hendry (County),Duval (County),Washington (County),Liberty (County),Suwannee (County),Palm Beach (County),Lake (County),Glades (County),Clay (County),Bradford (County),Collier (County),Jefferson (County),Union (County),Monroe (County),Indian River (County),Pasco (County),Baker (County),Hernando (County),Hamilton (County),Santa Rosa (County),Walton (County),Citrus (County),Broward (County),Madison (County),Gilchrist (County),Marion (County),Orange (County),Seminole (County),Jackson (County)"
1551,DR,2004-09-16 00:00:00+00:00,HURRICANE IVAN,"Jackson (County),Wakulla (County),Washington (County),Orange (County),Martin (County),Osceola (County),Seminole (County),Gulf (County),Holmes (County),Duval (County),Brevard (County),Leon (County),Jefferson (County),Liberty (County),Okaloosa (County),Palm Beach (County),Santa Rosa (County),Franklin (County),St. Johns (County),Escambia (County),Pasco (County),Highlands (County),Levy (County),Walton (County),Bay (County),Volusia (County),Marion (County),Sarasota (County),Citrus (County),Collier (County),Monroe (County),Lake (County),Dixie (County),Manatee (County),St. Lucie (County),Gadsden (County),Taylor (County),Clay (County),Okeechobee (County),Calhoun (County),Lee (County),Charlotte (County),Flagler (County),Polk (County),Indian River (County)"
1561,DR,2004-09-26 00:00:00+00:00,HURRICANE JEANNE,"Marion (County),Hernando (County),Palm Beach (County),St. Johns (County),Martin (County),Highlands (County),Dixie (County),Alachua (County),Collier (County),Putnam (County),Osceola (County),Lafayette (County),Charlotte (County),St. Lucie (County),Volusia (County),Brevard (County),Hamilton (County),Glades (County),Polk (County),Orange (County),Seminole (County),Broward (County),Manatee (County),Clay (County),DeSoto (County),Miami-Dade (County),Leon (County),Sumter (County),Gilchrist (County),Lake (County),Hardee (County),Citrus (County),Wakulla (County),Okeechobee (County),Bradford (County),Hillsborough (County),Duval (County),Baker (County),Lee (County),Union (County),Nassau (County),Suwannee (County),Jefferson (County),Sarasota (County),Columbia (County),Indian River (County),Levy (County),Hendry (County),Taylor (County),Flagler (County),Madison (County),Pinellas (County),Pasco (County)"
1595,DR,2005-07-10 00:00:00+00:00,HURRICANE DENNIS,"Calhoun (County),Gadsden (County),Wakulla (County),Escambia (County),Jefferson (County),Gulf (County),Levy (County),Monroe (County),Dixie (County),Liberty (County),Santa Rosa (County),Taylor (County),Franklin (County),Jackson (County),Walton (County),Leon (County),Washington (County),Holmes (County),Okaloosa (County),Bay (County)"
1602,DR,2005-08-28 00:00:00+00:00,HURRICANE KATRINA,"Santa Rosa (County),Escambia (County),Miami-Dade (County),Bay (County),Gulf (County),Okaloosa (County),Monroe (County),Collier (County),Broward (County),Walton (County),Franklin (County)"
3220,EM,2005-09-05 00:00:00+00:00,HURRICANE KATRINA EVACUATION,"Broward (County),Bay (County),Hendry (County),Union (County),Gulf (County),Jackson (County),Collier (County),Gilchrist (County),Holmes (County),Leon (County),DeSoto (County),Alachua (County),Volusia (County),Okeechobee (County),Palm Beach (County),Escambia (County),Hillsborough (County),Nassau (County),Suwannee (County),Manatee (County),Monroe (County),Sarasota (County),Pasco (County),St. Johns (County),Walton (County),Brevard (County),Duval (County),Indian River (County),Levy (County),Sumter (County),Clay (County),Gadsden (County),Flagler (County),Lake (County),Glades (County),Lee (County),Osceola (County),Wakulla (County),Citrus (County),Hamilton (County),Jefferson (County),Madison (County),Miami-Dade (County),Martin (County),Baker (County),Polk (County),Washington (County),Hardee (County),Lafayette (County),Marion (County),Seminole (County),St. Lucie (County),Bradford (County),Dixie (County),Highlands (County),Franklin (County),Hernando (County),Orange (County),Santa Rosa (County),Calhoun (County),Charlotte (County),Liberty (County),Okaloosa (County),Taylor (County),Pinellas (County),Columbia (County),Putnam (County)"
3259,EM,2005-09-20 00:00:00+00:00,TROPICAL STORM RITA,"Broward (County),Monroe (County),Miami-Dade (County),Collier (County)"
1609,DR,2005-10-24 00:00:00+00:00,HURRICANE WILMA,"Brevard (County),Hendry (County),DeSoto (County),Glades (County),Charlotte (County),Okeechobee (County),Indian River (County),Hardee (County),Palm Beach (County),Lee (County),Highlands (County),Miami-Dade (County),Collier (County),Sarasota (County),Broward (County),Osceola (County),Martin (County),St. Lucie (County),Monroe (County),Polk (County)"
3293,EM,2008-09-07 00:00:00+00:00,HURRICANE IKE,Monroe (County)
1806,DR,2008-10-27 00:00:00+00:00,HURRICANE GUSTAV,"Santa Rosa (County),Gulf (County),Okaloosa (County),Bay (County),Franklin (County),Escambia (County)"
4084,DR,2012-10-18 00:00:00+00:00,HURRICANE ISAAC,"Escambia (County),St. Lucie (County),Okaloosa (County),Gulf (County),Martin (County),Bay (County),Franklin (County),Santa Rosa (County),Monroe (County),Palm Beach (County),Glades (County),Collier (County)"
4280,DR,2016-09-28 00:00:00+00:00,HURRICANE HERMINE,"Marion (County),Levy (County),Gadsden (County),Dixie (County),Alachua (County),Sumter (County),Wakulla (County),Pinellas (County),Pasco (County),Suwannee (County),Franklin (County),Hillsborough (County),Sarasota (County),Manatee (County),Hernando (County),Madison (County),Baker (County),Columbia (County),Taylor (County),Leon (County),Jefferson (County),Union (County),Gilchrist (County),Lafayette (County),Citrus (County),Liberty (County)"
3377,EM,2016-10-06 00:00:00+00:00,HURRICANE MATTHEW,"St. Lucie (County),Polk (County),Indian River (County),Hendry (County),Broward (County),Glades (County),Lake (County),Osceola (County),Volusia (County),Duval (County),Highlands (County),Brevard (County),Baker (County),Monroe (County),Martin (County),Orange (County),Palm Beach (County),Citrus (County),Hernando (County),Nassau (County),Clay (County),Marion (County),St. Johns (County),Flagler (County),Miami-Dade (County),Okeechobee (County),Putnam (County),Seminole (County)"
4283,DR,2016-10-08 00:00:00+00:00,HURRICANE MATTHEW,"Brevard (County),Flagler (County),Lake (County),Osceola (County),Bradford (County),Volusia (County),Orange (County),Clay (County),Duval (County),Nassau (County),St. Johns (County),Seminole (County),Martin (County),Broward (County),Palm Beach (County),Putnam (County),St. Lucie (County),Indian River (County)"
3385,EM,2017-09-05 00:00:00+00:00,HURRICANE IRMA,"Pinellas (County),Manatee (County),Okeechobee (County),Seminole (County),Baker (County),Gilchrist (County),Holmes (County),Madison (County),Nassau (County),Palm Beach (County),St. Johns (County),Union (County),Dixie (County),Lafayette (County),Miami-Dade (County),Walton (County),Charlotte (County),Flagler (County),Hernando (County),Highlands (County),Leon (County),Sumter (County),Alachua (County),Collier (County),Gadsden (County),Hillsborough (County),Liberty (County),Monroe (County),Osceola (County),Putnam (County),Suwannee (County),Lee (County),Taylor (County),Hendry (County),Calhoun (County),Columbia (County),Glades (County),Indian River (County),Okaloosa (County),Volusia (County),Levy (County),Franklin (County),Clay (County),Citrus (County),Washington (County),Sarasota (County),Lake (County),Hardee (County),Duval (County),Broward (County),Bradford (County),DeSoto (County),Gulf (County),Jackson (County),Marion (County),Orange (County),Pasco (County),St. Lucie (County),Wakulla (County),Brevard (County),Hamilton (County),Jefferson (County),Martin (County),Santa Rosa (County),Escambia (County),Bay (County),Polk (County)"
3388,EM,2017-09-08 00:00:00+00:00,HURRICANE IRMA,Hollywood Indian Reservation
4337,DR,2017-09-10 00:00:00+00:00,HURRICANE IRMA,"Liberty (County),Lee (County),Columbia (County),Holmes (County),Pinellas (County),Martin (County),Highlands (County),Duval (County),Baker (County),Wakulla (County),Franklin (County),St. Lucie (County),Miami-Dade (County),Citrus (County),Bradford (County),Taylor (County),Calhoun (County),Marion (County),Indian River (County),Glades (County),Broward (County),Washington (County),Santa Rosa (County),Escambia (County),Alachua (County),Pasco (County),Hendry (County),Hamilton (County),Charlotte (County),Madison (County),Okeechobee (County),Putnam (County),Gulf (County),Gadsden (County),Walton (County),Brevard (County),Gilchrist (County),Hillsborough (County),Bay (County),Sumter (County),Volusia (County),Palm Beach (County),Lafayette (County),Hernando (County),Union (County),Leon (County),Orange (County),Levy (County),Collier (County),Dixie (County),Seminole (County),DeSoto (County),Flagler (County),Manatee (County),Osceola (County),St. Johns (County),Jefferson (County),Suwannee (County),Jackson (County),Sarasota (County),Clay (County),Hardee (County),Lake (County),Nassau (County),Polk (County),Okaloosa (County),Monroe (County)"
